target,opt,policy,0 cs,0 cts,1 cs,1 cts,2 cs,2 cts,3 cs,3 cts,4 cs,4 cts,5 cs,5 cts,6 cs,6 cts,summary cs,summary cts
proftpd,O2,COUNT*,3,131.0 $\pm$ 0.0,14,594.0 $\pm$ 0.0,35,839.0 $\pm$ 0.0,41,950.0 $\pm$ 0.0,17,1019.0 $\pm$ 0.0,1,1036.0 $\pm$ 0.0,1,1042.0 $\pm$ 0.0,112,860.93 $\pm$ 174.9
proftpd,O2,COUNT,3,216.0 $\pm$ 0.0,14,702.28 $\pm$ 118.27,35,853.82 $\pm$ 82.17,41,935.73 $\pm$ 14.34,17,992.0 $\pm$ 0.0,1,1006.0 $\pm$ 0.0,1,1015.0 $\pm$ 0.0,112,871.55 $\pm$ 152.25
vsftpd,O2,COUNT*,0,-,10,177.0 $\pm$ 0.0,0,-,4,306.0 $\pm$ 0.0,0,-,0,-,0,-,14,213.85 $\pm$ 58.27
vsftpd,O2,COUNT,0,-,10,198.0 $\pm$ 0.0,0,-,4,308.0 $\pm$ 0.0,0,-,0,-,0,-,14,229.42 $\pm$ 49.69
lighttpd,O2,COUNT*,1,19.0 $\pm$ 0.0,22,139.0 $\pm$ 0.0,11,261.0 $\pm$ 0.0,12,312.0 $\pm$ 0.0,2,336.0 $\pm$ 0.0,0,-,0,-,48,215.91 $\pm$ 83.03
lighttpd,O2,COUNT,1,30.0 $\pm$ 0.0,22,140.31 $\pm$ 102.32,11,231.0 $\pm$ 0.0,12,267.0 $\pm$ 0.0,2,285.0 $\pm$ 0.0,0,-,0,-,48,196.5 $\pm$ 93.08
nginx,O2,COUNT*,0,-,114,306.0 $\pm$ 0.0,50,518.0 $\pm$ 0.0,69,870.0 $\pm$ 0.0,1,912.0 $\pm$ 0.0,0,-,0,-,234,520.19 $\pm$ 243.08
nginx,O2,COUNT,0,-,114,371.93 $\pm$ 154.96,50,622.58 $\pm$ 202.22,69,852.82 $\pm$ 107.59,1,913.0 $\pm$ 0.0,0,-,0,-,234,569.6 $\pm$ 260.08
mysqld,O2,COUNT*,3,180.0 $\pm$ 0.0,3429,6218.0 $\pm$ 0.0,1102,9719.0 $\pm$ 0.0,1105,12044.0 $\pm$ 0.0,539,12914.0 $\pm$ 0.0,159,13411.0 $\pm$ 0.0,160,13710.25 $\pm$ 77.94,6497,8715.96 $\pm$ 2827.94
mysqld,O2,COUNT,3,2237.0 $\pm$ 0.0,3429,5699.5 $\pm$ 2164.37,1102,8025.32 $\pm$ 1171.74,1105,8814.14 $\pm$ 663.71,539,9360.47 $\pm$ 129.96,159,9710.07 $\pm$ 140.72,160,9916.36 $\pm$ 86.24,6497,7127.85 $\pm$ 2293.15
postgres,O2,COUNT*,53,483.0 $\pm$ 0.0,164,3904.0 $\pm$ 0.0,152,5347.0 $\pm$ 0.0,75,6207.0 $\pm$ 0.0,75,6699.0 $\pm$ 0.0,4,6908.0 $\pm$ 0.0,3,7036.0 $\pm$ 0.0,526,4743.89 $\pm$ 1752.2
postgres,O2,COUNT,53,1275.0 $\pm$ 0.0,164,4084.51 $\pm$ 1512.62,152,5325.59 $\pm$ 137.4,75,6074.54 $\pm$ 157.35,75,6540.74 $\pm$ 156.57,4,6686.0 $\pm$ 0.0,3,3163.66 $\pm$ 2670.97,526,4808.57 $\pm$ 1721.6
memcached,O2,COUNT*,0,-,0,-,3,203.0 $\pm$ 0.0,0,-,0,-,0,-,0,-,3,203.0 $\pm$ 0.0
memcached,O2,COUNT,0,-,0,-,3,101.0 $\pm$ 0.0,0,-,0,-,0,-,0,-,3,101.0 $\pm$ 0.0
node,O2,COUNT*,9,890.0 $\pm$ 0.0,3301,8253.0 $\pm$ 0.0,2634,14905.0 $\pm$ 0.0,1930,18489.0 $\pm$ 0.0,387,20134.0 $\pm$ 0.0,159,21053.0 $\pm$ 0.0,179,21440.79 $\pm$ 129.47,8599,13626.22 $\pm$ 4610.72
node,O2,COUNT,9,6308.55 $\pm$ 4708.07,3301,12904.21 $\pm$ 4950.09,2634,16097.74 $\pm$ 2557.51,1930,18543.47 $\pm$ 908.81,387,19340.4 $\pm$ 2187.46,159,20209.11 $\pm$ 1256.56,179,20788.26 $\pm$ 75.14,8599,15730.09 $\pm$ 4281.32
