target,opt,policy,0,1,2,3,4,5,6,summary
proftpd,O2,AT,"(3, 388, 0)","(14, 388, 0)","(35, 388, 0)","(41, 388, 0)","(17, 388, 0)","(1, 388, 0)","(1, 388, 0)","(112, 388, 0)"
proftpd,O2,COUNT*,"(3, 91.0, 28.28)","(14, 511.14, 52.4)","(35, 711.71, 69.28)","(41, 775.36, 27.61)","(17, 843.94, 43.76)","(1, 849.0, 0.0)","(1, 854.0, 0.0)","(112, 715.88, 149.17)"
proftpd,O2,TYPE*,"(3, 52.0, 5.65)","(14, 357.28, 49.29)","(35, 588.57, 50.5)","(41, 654.41, 68.25)","(17, 686.0, 120.72)","(1, 748.0, 0.0)","(1, 753.0, 0.0)","(112, 587.07, 151.36)"
vsftpd,O2,AT,"(0, 9, 0)","(10, 9, 0)","(0, 9, 0)","(4, 9, 0)","(0, 9, 0)","(0, 9, 0)","(0, 9, 0)","(14, 9, 0)"
vsftpd,O2,COUNT*,"(0, 0.0, 0.0)","(10, 177.0, 0.0)","(0, 0.0, 0.0)","(4, 306.0, 0.0)","(0, 0.0, 0.0)","(0, 0.0, 0.0)","(0, 0.0, 0.0)","(14, 213.85, 58.27)"
vsftpd,O2,TYPE*,"(0, 0.0, 0.0)","(10, 103.0, 0.0)","(0, 0.0, 0.0)","(4, 274.0, 0.0)","(0, 0.0, 0.0)","(0, 0.0, 0.0)","(0, 0.0, 0.0)","(14, 151.85, 77.24)"
lighttpd,O2,AT,"(1, 55, 0)","(22, 55, 0)","(11, 55, 0)","(12, 55, 0)","(2, 55, 0)","(0, 55, 0)","(0, 55, 0)","(48, 55, 0)"
lighttpd,O2,COUNT*,"(1, 19.0, 0.0)","(22, 131.9, 15.04)","(11, 229.36, 28.87)","(12, 249.0, 0.0)","(2, 271.0, 0.0)","(0, 0.0, 0.0)","(0, 0.0, 0.0)","(48, 186.95, 62.77)"
lighttpd,O2,TYPE*,"(1, 18.0, 0.0)","(22, 87.77, 26.91)","(11, 190.9, 28.38)","(12, 211.0, 0.0)","(2, 233.0, 0.0)","(0, 0.0, 0.0)","(0, 0.0, 0.0)","(48, 146.81, 65.15)"
nginx,O2,AT,"(0, 479, 0)","(114, 479, 0)","(50, 479, 0)","(69, 479, 0)","(1, 479, 0)","(0, 479, 0)","(0, 479, 0)","(234, 479, 0)"
