target,opt,policy,0 cs,0 cts,1 cs,1 cts,2 cs,2 cts,3 cs,3 cts,4 cs,4 cts,5 cs,5 cts,6 cs,6 cts,summary cs,summary cts
proftpd,O2,AT,3,391$\pm$ 0,14,391$\pm$ 0,35,391$\pm$ 0,41,391$\pm$ 0,17,391$\pm$ 0,1,391$\pm$ 0,1,391$\pm$ 0,112,391$\pm$ 0
proftpd,O2,COUNT*,3,21.0 $\pm$ 0.0,14,306.0 $\pm$ 0.0,35,351.0 $\pm$ 0.0,41,370.0 $\pm$ 0.0,17,389.0 $\pm$ 0.0,1,390.0 $\pm$ 0.0,1,391.0 $\pm$ 0.0,112,349.96 $\pm$ 59.56
proftpd,O2,TYPE*,3,21.0 $\pm$ 0.0,14,298.28 $\pm$ 3.14,35,340.57 $\pm$ 0.9,41,350.36 $\pm$ 2.53,17,365.82 $\pm$ 4.54,1,363.0 $\pm$ 0.0,1,369.0 $\pm$ 0.0,112,334.59 $\pm$ 55.44
vsftpd,O2,AT,0,-,10,9$\pm$ 0,0,-,4,9$\pm$ 0,0,-,0,-,0,-,14,9$\pm$ 0
vsftpd,O2,COUNT*,0,-,10,7.0 $\pm$ 0.0,0,-,4,10.0 $\pm$ 0.0,0,-,0,-,0,-,14,7.85 $\pm$ 1.35
vsftpd,O2,TYPE*,0,-,10,3.0 $\pm$ 0.0,0,-,4,10.0 $\pm$ 0.0,0,-,0,-,0,-,14,5.0 $\pm$ 3.16
lighttpd,O2,AT,1,55$\pm$ 0,22,55$\pm$ 0,11,55$\pm$ 0,12,55$\pm$ 0,2,55$\pm$ 0,0,-,0,-,48,55$\pm$ 0
lighttpd,O2,COUNT*,0,-,22,21.0 $\pm$ 0.0,11,46.0 $\pm$ 0.0,12,53.0 $\pm$ 0.0,2,56.0 $\pm$ 0.0,0,-,0,-,47,36.51 $\pm$ 14.8
lighttpd,O2,TYPE*,0,-,22,21.0 $\pm$ 0.0,11,39.45 $\pm$ 5.97,12,35.58 $\pm$ 4.68,2,45.0 $\pm$ 9.0,0,-,0,-,47,30.06 $\pm$ 9.68
nginx,O2,AT,0,-,114,479$\pm$ 0,50,479$\pm$ 0,69,479$\pm$ 0,1,479$\pm$ 0,0,-,0,-,234,479$\pm$ 0
nginx,O2,COUNT*,0,-,114,179.0 $\pm$ 0.0,50,233.0 $\pm$ 0.0,69,476.0 $\pm$ 0.0,1,479.0 $\pm$ 0.0,0,-,0,-,234,279.39 $\pm$ 130.14
nginx,O2,TYPE*,0,-,114,177.0 $\pm$ 0.0,50,231.0 $\pm$ 0.0,69,473.0 $\pm$ 0.0,1,476.0 $\pm$ 0.0,0,-,0,-,234,277.09 $\pm$ 129.69
mysqld,O2,AT,3,6110$\pm$ 0,3429,6110$\pm$ 0,1102,6110$\pm$ 0,1105,6110$\pm$ 0,539,6110$\pm$ 0,159,6110$\pm$ 0,160,6110$\pm$ 0,6497,6110$\pm$ 0
mysqld,O2,COUNT*,3,17.0 $\pm$ 0.0,3429,4867.0 $\pm$ 0.0,1102,7062.0 $\pm$ 0.0,1105,8418.0 $\pm$ 0.0,539,8861.0 $\pm$ 0.0,159,9113.0 $\pm$ 0.0,160,9240.95 $\pm$ 32.16,6497,6383.99 $\pm$ 1705.05
mysqld,O2,TYPE*,3,17.0 $\pm$ 0.0,3429,4861.0 $\pm$ 0.17,1102,6804.92 $\pm$ 120.59,1105,7729.13 $\pm$ 248.95,539,7960.38 $\pm$ 225.29,159,7877.42 $\pm$ 104.56,160,7952.98 $\pm$ 150.51,6497,6083.39 $\pm$ 1352.68
postgres,O2,AT,53,566$\pm$ 0,164,566$\pm$ 0,152,566$\pm$ 0,75,566$\pm$ 0,75,566$\pm$ 0,4,566$\pm$ 0,3,566$\pm$ 0,526,566$\pm$ 0
postgres,O2,COUNT*,53,7.0 $\pm$ 0.0,164,249.0 $\pm$ 0.0,152,462.0 $\pm$ 0.0,75,564.0 $\pm$ 0.0,75,615.0 $\pm$ 0.0,4,618.0 $\pm$ 0.0,3,624.0 $\pm$ 0.0,526,388.21 $\pm$ 186.32
postgres,O2,TYPE*,53,7.0 $\pm$ 0.0,164,209.48 $\pm$ 4.39,152,364.65 $\pm$ 26.57,75,428.38 $\pm$ 63.73,75,441.56 $\pm$ 50.8,4,465.0 $\pm$ 30.64,3,415.66 $\pm$ 0.94,526,301.34 $\pm$ 138.07
memcached,O2,AT,0,-,0,-,3,11$\pm$ 0,0,-,0,-,0,-,0,-,3,11$\pm$ 0
memcached,O2,COUNT*,0,-,0,-,3,12.0 $\pm$ 0.0,0,-,0,-,0,-,0,-,3,12.0 $\pm$ 0.0
memcached,O2,TYPE*,0,-,0,-,3,10.0 $\pm$ 0.0,0,-,0,-,0,-,0,-,3,10.0 $\pm$ 0.0
node,O2,AT,9,7425$\pm$ 0,3301,7425$\pm$ 0,2634,7425$\pm$ 0,1930,7425$\pm$ 0,387,7425$\pm$ 0,159,7425$\pm$ 0,179,7425$\pm$ 0,8599,7425$\pm$ 0
node,O2,COUNT*,9,61.0 $\pm$ 0.0,3301,3735.0 $\pm$ 0.0,2634,6120.0 $\pm$ 0.0,1930,7358.0 $\pm$ 0.0,387,7781.0 $\pm$ 0.0,159,8061.0 $\pm$ 0.0,179,8132.21 $\pm$ 33.48,8599,5628.49 $\pm$ 1613.25
node,O2,TYPE*,9,61.0 $\pm$ 0.0,3301,3712.14 $\pm$ 1.82,2634,5884.12 $\pm$ 157.8,1930,6351.85 $\pm$ 213.04,387,6586.9 $\pm$ 277.68,159,6619.16 $\pm$ 296.15,179,6920.0 $\pm$ 441.54,8599,5216.01 $\pm$ 1237.21
