target,opt,policy,0 cs,0 cts,1 cs,1 cts,2 cs,2 cts,3 cs,3 cts,4 cs,4 cts,5 cs,5 cts,6 cs,6 cts,summary cs,summary cts
proftpd,O2,AT,3,390$\pm$ 0,14,390$\pm$ 0,35,390$\pm$ 0,41,390$\pm$ 0,17,390$\pm$ 0,1,390$\pm$ 0,1,390$\pm$ 0,112,390$\pm$ 0
proftpd,O2,COUNT*,3,21.0 $\pm$ 0.0,14,304.0 $\pm$ 0.0,35,355.0 $\pm$ 0.0,41,375.0 $\pm$ 0.0,17,394.0 $\pm$ 0.0,1,395.0 $\pm$ 0.0,1,396.0 $\pm$ 0.0,112,353.64 $\pm$ 60.97
proftpd,O2,TYPE*,3,21.0 $\pm$ 0.0,14,296.28 $\pm$ 3.14,35,338.57 $\pm$ 0.9,41,348.36 $\pm$ 2.53,17,363.82 $\pm$ 4.54,1,361.0 $\pm$ 0.0,1,367.0 $\pm$ 0.0,112,332.65 $\pm$ 55.14
vsftpd,O2,AT,0,-,10,10$\pm$ 0,0,-,4,10$\pm$ 0,0,-,0,-,0,-,14,10$\pm$ 0
vsftpd,O2,COUNT*,0,-,10,7.0 $\pm$ 0.0,0,-,4,11.0 $\pm$ 0.0,0,-,0,-,0,-,14,8.14 $\pm$ 1.8
vsftpd,O2,TYPE*,0,-,10,3.0 $\pm$ 0.0,0,-,4,11.0 $\pm$ 0.0,0,-,0,-,0,-,14,5.28 $\pm$ 3.61
lighttpd,O2,AT,1,59$\pm$ 0,22,59$\pm$ 0,11,59$\pm$ 0,12,59$\pm$ 0,2,59$\pm$ 0,0,-,0,-,48,59$\pm$ 0
lighttpd,O2,COUNT*,1,1.0 $\pm$ 0.0,22,22.0 $\pm$ 0.0,11,50.0 $\pm$ 0.0,12,57.0 $\pm$ 0.0,2,63.0 $\pm$ 0.0,0,-,0,-,48,38.43 $\pm$ 17.17
lighttpd,O2,TYPE*,1,1.0 $\pm$ 0.0,22,22.0 $\pm$ 0.0,11,40.45 $\pm$ 5.97,12,36.58 $\pm$ 4.68,2,49.0 $\pm$ 9.0,0,-,0,-,48,30.56 $\pm$ 10.7
nginx,O2,AT,0,-,114,543$\pm$ 0,50,543$\pm$ 0,69,543$\pm$ 0,1,543$\pm$ 0,0,-,0,-,234,543$\pm$ 0
nginx,O2,COUNT*,0,-,114,196.0 $\pm$ 0.0,50,266.0 $\pm$ 0.0,69,540.0 $\pm$ 0.0,1,543.0 $\pm$ 0.0,0,-,0,-,234,313.87 $\pm$ 150.2
nginx,O2,TYPE*,0,-,114,194.0 $\pm$ 0.0,50,263.0 $\pm$ 0.0,69,536.0 $\pm$ 0.0,1,539.0 $\pm$ 0.0,0,-,0,-,234,311.06 $\pm$ 149.36
mysqld,O2,AT,3,5879$\pm$ 0,3429,5879$\pm$ 0,1102,5879$\pm$ 0,1105,5879$\pm$ 0,539,5879$\pm$ 0,159,5879$\pm$ 0,160,5879$\pm$ 0,6497,5879$\pm$ 0
mysqld,O2,COUNT*,3,16.0 $\pm$ 0.0,3429,4808.0 $\pm$ 0.0,1102,7016.0 $\pm$ 0.0,1105,8318.0 $\pm$ 0.0,539,8729.0 $\pm$ 0.0,159,8974.0 $\pm$ 0.0,160,9084.81 $\pm$ 30.49,6497,6309.84 $\pm$ 1681.68
mysqld,O2,TYPE*,3,16.0 $\pm$ 0.0,3429,4797.0 $\pm$ 0.32,1102,6705.21 $\pm$ 119.55,1105,7606.33 $\pm$ 239.03,539,7827.18 $\pm$ 206.7,159,7765.79 $\pm$ 96.45,160,7837.9 $\pm$ 141.07,6497,5995.2 $\pm$ 1325.29
postgres,O2,AT,53,2490$\pm$ 0,164,2490$\pm$ 0,152,2490$\pm$ 0,75,2490$\pm$ 0,75,2490$\pm$ 0,4,2490$\pm$ 0,3,2490$\pm$ 0,526,2490$\pm$ 0
