00401000 0040227c e.exe.text
00403000 00403010 e.exe.data
00404000 00404208 e.exe.rdata
00405000 004051d8 e.exe/4
00406000 00406078 e.exe.bss
00407000 0040748c e.exe.idata
00408000 00408018 e.exe.CRT
00409000 00409020 e.exe.tls
0040a000 0040a100 e.exe/14
0040b000 0040b388 e.exe/29
0040c000 0040c469 e.exe/45
0040d000 0040fbd4 e.exe/61
00410000 00410a10 e.exe/73
00411000 0041181d e.exe/87
00412000 004123c4 e.exe/99
00413000 0041310f e.exe/112
00414000 00414ce9 e.exe/123
00415000 00415048 e.exe/134
76d91000 76dad5cc Apphelp.dll.text
76dae000 76dae8c4 Apphelp.dll.data
76daf000 76daf400 Apphelp.dll.rsrc
76db0000 76db1364 Apphelp.dll.reloc
77bb1000 77bb48dc VERSION.dll.text
77bb5000 77bb52fc VERSION.dll.data
77bb6000 77bb6418 VERSION.dll.rsrc
77bb7000 77bb7300 VERSION.dll.reloc
77d81000 77e04cd3 RPCRT4.dll.text
77e05000 77e0b93c RPCRT4.dll.orpc
77e0c000 77e0ced8 RPCRT4.dll.data
77e0d000 77e0d408 RPCRT4.dll.rsrc
77e0e000 77e12558 RPCRT4.dll.reloc
77ef1000 77efd284 Secur32.dll.text
77efe000 77efe480 Secur32.dll.data
77eff000 77eff418 Secur32.dll.rsrc
77f00000 77f00888 Secur32.dll.reloc
77f51000 77fc55c9 ADVAPI32.DLL.text
77fc6000 77fca628 ADVAPI32.DLL.data
77fcb000 77ff2c88 ADVAPI32.DLL.rsrc
77ff3000 77ff7af8 ADVAPI32.DLL.reloc
7c7d1000 7c8541e9 kernel32.dll.text
7c855000 7c859460 kernel32.dll.data
7c85a000 7c8f9eb4 kernel32.dll.rsrc
7c8fa000 7c8ffc84 kernel32.dll.reloc
7c931000 7c9adeda ntdll.dll.text
7c9ae000 7c9b2a20 ntdll.dll.data
7c9b3000 7c9caf48 ntdll.dll.rsrc
7c9cb000 7c9cdee0 ntdll.dll.reloc
0022e000 00230000 [thread 0 stack]
77bc1000 77c0cd36 msvcrt.dll.text
77c0d000 77c137c8 msvcrt.dll.data
77c14000 77c143e0 msvcrt.dll.rsrc
77c15000 77c17d74 msvcrt.dll.reloc
10001000 1001136c totermh32.dll.text
10012000 10015a9a totermh32.dll.rdata
10016000 10017d93 totermh32.dll.data
10018000 100180b0 totermh32.dll.rsrc
10019000 1001a1fa totermh32.dll.reloc
77cf1000 77d50283 USER32.dll.text
77d51000 77d52180 USER32.dll.data
77d53000 77d7c6a8 USER32.dll.rsrc
77d7d000 77d7fde4 USER32.dll.reloc
77e21000 77e63a6e GDI32.dll.text
77e64000 77e65160 GDI32.dll.data
77e66000 77e663d0 GDI32.dll.rsrc
77e67000 77e68870 GDI32.dll.reloc
762e1000 762f5a96 IMM32.DLL.text
762f6000 762f688c IMM32.DLL.data
762f7000 762fbc18 IMM32.DLL.rsrc
762fc000 762fcc6c IMM32.DLL.reloc
62341000 62345709 LPK.DLL.text
62346000 623461d4 LPK.DLL.data
62347000 623473e0 LPK.DLL.rsrc
62348000 6234828e LPK.DLL.reloc
73f81000 73fc4905 USP10.dll.text
73fc5000 73fd429c USP10.dll.data
73fd5000 73fd6c18 USP10.dllShared
73fd7000 73fe8a18 USP10.dll.rsrc
73fe9000 73fea696 USP10.dll.reloc
