opt,target,cs,cs args perfect,cs args perfect pct,cs args problem,cs args problem pct,cs non-void correct,cs non-void correct pct,cs non-void problem,cs non-void problem pct,ct,ct args perfect,ct args perfect pct,ct args problem,ct args problem pct,ct void correct,ct void correct pct,ct void problem,ct void problem pct
O2,proftpd,157,125,79.61,6,3.82,25,15.92,0,0.0,1009,835,82.75,10,0.99,177,17.54,832,82.45
O2,pure-ftpd,8,4,50.0,0,0.0,2,25.0,0,0.0,128,101,78.9,2,1.56,77,60.15,51,39.84
O2,vsftpd,14,14,100.0,0,0.0,14,100.0,0,0.0,315,256,81.26,3,0.95,154,48.88,161,51.11
O2,lighttpd,66,48,72.72,1,1.51,33,50.0,0,0.0,289,253,87.54,2,0.69,59,20.41,230,79.58
O2,nginx,269,140,52.04,11,4.08,59,21.93,0,0.0,913,639,69.98,0,0.0,195,21.35,718,78.64
O2,mysqld,8002,4477,55.94,397,4.96,1419,17.73,0,0.0,9728,6140,63.11,304,3.12,3380,34.74,6348,65.25
O2,postgres,635,455,71.65,7,1.1,191,30.07,0,0.0,6873,5730,83.36,571,8.3,2245,32.66,4628,67.33
O2,memcached,48,43,89.58,0,0.0,33,68.75,0,0.0,133,110,82.7,10,7.51,72,54.13,61,45.86
O2,node,10502,4757,45.29,1003,9.55,3058,29.11,0,0.0,20069,15161,75.54,362,1.8,8040,40.06,12029,59.93
O2,geomean,210.15,139.18,66.22,8.33,1.71,69.38,33.01,0.0,0.0,1074.9,838.45,77.99,17.67,1.91,361.74,33.64,661.7,61.55
