opt,target,cs,cs args perfect,cs args perfect pct,cs args problem,cs args problem pct,cs non-void correct,cs non-void correct pct,cs non-void problem,cs non-void problem pct,ct,ct args perfect,ct args perfect pct,ct args problem,ct args problem pct,ct void correct,ct void correct pct,ct void problem,ct void problem pct
O2,proftpd,157,130,82.8,0,0.0,113,71.97,0,0.0,1009,898,88.99,0,0.0,845,83.74,82,8.12
O2,pure-ftpd,8,4,50.0,0,0.0,8,100.0,0,0.0,128,107,83.59,0,0.0,52,40.62,3,2.34
O2,vsftpd,14,14,100.0,0,0.0,14,100.0,0,0.0,315,270,85.71,0,0.0,193,61.26,26,8.25
O2,lighttpd,66,48,72.72,0,0.0,57,86.36,0,0.0,289,277,95.84,0,0.0,258,89.27,7,2.42
O2,nginx,269,150,55.76,0,0.0,232,86.24,0,0.0,913,753,82.47,0,0.0,777,85.1,35,3.83
O2,mysqld,8002,5244,65.53,8,0.09,6449,80.59,0,0.0,9728,7138,73.37,0,0.0,7845,80.64,338,3.47
O2,postgres,635,500,78.74,0,0.0,573,90.23,0,0.0,6873,6378,92.79,0,0.0,5241,76.25,396,5.76
O2,memcached,48,47,97.91,0,0.0,48,100.0,0,0.0,133,123,92.48,0,0.0,77,57.89,3,2.25
O2,node,10502,6001,57.14,1,0.0,8841,84.18,1,0.0,20069,16853,83.97,2,0.0,14652,73.0,1301,6.48
O2,geomean,210.15,150.13,71.43,0.37,0.0,185.68,88.35,0.08,0.0,1074.9,928.04,86.33,0.12,0.0,754.09,70.14,45.39,4.21
